Title,Genre,Artist,Visualizer,BPM,LP,NM,HD,MX,EX
A Life With You,Broken Beat,makou,"ManDrill, HooN",122,5,5,6,7,
A.I,Techno,Forte Escape,KINYS(KIMYS),138,,5,7,8,
Access,Techno,SPHAZER,KIMYS,135,,2,3,6,
AD2222,Junkno,CROOVE,KIMYS,140,7,6,7,10,
Airwave,Melodic Trance,ReX,Z_B,150,,5,9,,
Angel,Euro Dance,Laurent Newfield & Ravenant,"Jaguar Lee, aj",170,,5,8,11,
Area 7,Techno,SPHAZER,KIMYS,130,,3,7,8,
Ask to Wind (바람에게 부탁해),R&B Fantasy,Forte Escape,Tako Ashin,108,,1,5,,
Ask to Wind (바람에게 부탁해) (Live Mix),Live Pop,Forte Escape,"DMP1 Opening Staff, Z_B",210,,6,8,,
Bamboo on Bamboo,Gabba,Sampling Masters MEGA,wony,200,10,7,9,12,
Beat U Down,Eurobeat,makou,"KIMYS, Z_B",155,,6,7,,
Beautiful Girl,Electro House,DJ Keri,"SARA, ENTIA J",128,4,4,5,8,
Become Myself,Hard Core,PIA,moses,95,,4,6,#,
BEE-U-TIFUL,Drum'n Bass,FIRST AID,D,170,,7,9,,
Beyond the Future,Technical House,7 Sequence,ECO,130,,6,7,8,
Black Swan,Electronic Waltz,TAK,"Naye, Tack",174,8,7,8,10,
Blythe,Synth DnB,M2U,D,180,,6,9,,
Brand NEW Days,Pop Rock,Planetboom,DumpingLIFE,124,,2,6,7,
Break!,Synth Pop Rock,Mr.Funky,"JUNA, ENTIA J",167,4,4,6,8,
Burn It Down,Industrial,P'sycho-Remi,"SR, 79c",,,5,6,7,
Chemical Slave,Euro Dance,XeoN,Amitasia,150,,5,7,9,
Cherokee,Trance Fusion,xxdbxx,ECO,136,,5,6,7,
Closer,Pure House,3rd Coast,Giggsan,120,,3,5,,
Coastal Tempo,Up Tempo,3rd Coast,"ZAKTAN, 79c",135,,5,6,7,
Color,Electronica,Clazziquai,"ENTIA J, JT",120,,5,6,7,
Colours of Sorrow,Colours Pop,Tsukasa,"Shin Min Kyung, carrotjuice",143,,6,7,8,
Come to Me (내게로 와),Electro Pop,Clazziquai,"SARA, Z_B",125,,4,6,8,
Cosmic Fantastic Lovesong,Ani Pop,DINY,"Panneh, Latte",136,,3,5,6,
Cozy Quilt,Jazz House,bermei.inazawa,"Yein, 79c",,,5,8,,
Creator,Electronica,Clazziquai,"SINBARU, HooN",117,,6,7,,
Cypher Gate,Hi-Break Core,7 Sequence,KIMYS,150,,6,9,12,
D2,Progressive,FIRST AID,Amitasia,178,,8,10,11,
Dark Envy,Envy Rock,Sugar Donut,D,195,,6,7,,
Dark Prism,Melodic Trance,Tsukasa,"SAGWANAMU, Ruki",149,8,6,7,,
Dear My Lady,Hi-NRG,Oriental ST8,cozy,128,,4,6,7,
Desperado,Electronic Funk,CROOVE,"Cold Play, Latte",130,,5,,,
Desperado (Nu skool Mix),Nu Skool,Croove,"Coldplay, Latte",,,5,6,7,
Divine Service,Ethnic Techno,Electronic Boutique,SR,150,,4,5,6,
DJMAX,MAX House,Humming Urban Stereo,RONGBROS,128,,3,4,,
Dream Again,Ani Pop,DINY,"Young-in, ENTIA J",140,4,4,5,7,
Dream of Winds,Melodic Trance,XeoN,KIMYS,150,,6,8,10,
Drum Town,Core Electronic,Myagi,KIMYS,128,4,4,6,7,
Dual Strikers,Techno Trance,7 Sequence,"Giggsan,Z_B, D",,,6,8,,
EGG,Light Pop,Nauts,"Armcho, HooN",176,,5,6,8,
Electronics,Electro House,Clazziquai,"DumpingLIFE, Madum",128,,6,8,,
Emblem,Irish Dance,Makou,"D, Xloth",240,6,6,7,9,
End of the Moonlight,Techno Pop,Forte Escape,"US, Eyehead, ponGlow",155,,4,7,8,
Enemy Storm,Hard Core,CROOVE,JAY,133,,3,6,10,
Enemy Storm (Dark Jungle Mix),Dark Jungle,Croove,"Nova, Super52",170,,6,8,9,
Eternal Fantasy,Fantasy Pop,XeoN,"NG, HooN",127,,4,5,6,
Eternal Memory,Fantasy Pop,M2U,DumpingLIFE,125,,3,5,7,
Everything,House Dance,3rd Coast,ECO,130,,2,6,8,
Fallin' in LUV,Luv Pop,3rd Coast,"Tari, jo jeong joo",132,,3,5,8,
Fate,Fusion Hip Hop,STi,"SINBARU, shin105",110,,4,5,6,
Feel Ma Beat,Rap Metal,NieN,"ZAKTAN, DumpingLife",100,6,7,8,9,
Fermion,Psychedelic Trance,makou,"CRAZYRED, Jin",156,,8,10,,
First Kiss,Dance Pop,BJJ,"D, Latte",107,,2,4,5,
Flea,New Wave,Clazziquai,Clazziquai Project,126,,5,6,7,
Forever (영원),Modern Rock,BEXTER,"GODO, carrotjuice",114,,4,6,,
Freedom,Electronica,Clazziquai,"SARA, carrotjuice, Purplelemon",126,,4,5,7,
Funky People,Nu Breakz,Vespers,ECO,132,5,5,6,8,
Fury,Punk Rock,Sugar Donut,"Y.J, JoJo, ssamanko",135,,6,7,8,
Get Down,Dance Rock,BJJ,DJMAX Allstars,111,,4,,,
Give Me 5,Soulful House,NDLee,"SARA, ENTIA J",121,6,5,7,8,
Gone Astray,Progressive House,makou,"ECO, Xloth",140,5,6,7,8,
Grave Consequence,DnB Trance,Tsukasa,"Kahng-keun, Latte",180,,7,8,,
Hanz Up!,Hip House,Mr.Funky,"Z_B, DumpingLife",130,6,5,7,9,
Heart of Witch,Classical Trance,ReX,"Tari, woodstock",170,,5,7,8,
Here in the Moment,Latin House,Ruby Tuesday,"KKUEM, HWAN, Jin",115,,5,6,,
HEXAD,Electro House,Electronic Boutique,"KIMYS, Z_B",135,,5,6,7,
Honeymoon,Acid Pop,Humming Urban Stereo,"SARA, 79c",150,,3,4,8,
I Want You,House Dance,Lin-G,"H2SO4, Latte",140,,4,6,7,
IF,Modern Rock,Vanilla Unity,"Jisun, Moses",134,3,3,7,8,
In my Dream,Mental Metal,ND Lee,"Weltol, Latte",140,,6,,,#
In My Heart,House Pop,Tsukasa,"BF., Latte",123,,3,4,5,
In the Tdot,Electro Hip-Hop,Mr. Thoro,"sampal, carrotjuice",102,1,1,4,6,
Jealousy,Marble House,3rd Coast,"willow, Waveun",125,,5,6,,
Jumping,K-Pop,KARA,DSP Entertainment,126,4,5,6,8,
Jupiter Driving,Techno Stock,xxdbxx,eyehead,144,,5,6,7,
Just For Today,Modern Rock,J Minus,"managA, Nova",90,,2,6,8,
Keys to the world,Planet Core,Planetboom,"GODO, carrotjuice",160,,6,7,8,
Kung-Fu Rider,Oriental Funk,AstroKid,ECO,133,5,6,7,8,
La Campanella : Nu Rave,Symphonic Rave,Cranky,Z_B,??-178,,6,7,,
Ladymade Star,Space Idol Pop,ESTi,Tiv,136,,4,5,6,
Landscape,Melodic Trance,Tsukasa,KIMYS,140,,5,6,9,
Leave Me Alone,Hard Core,NieN,"Jay, Z_B",236,8,6,7,10,
Love is Beautiful,Flipper's Rock,Electronic Boutique,"SARA, DumpingLIFE",152,,4,5,6,
Love Mode,Electronica,Clazziquai,"Clazziquai Project, HooN, Z_B",120,,3,6,7,
Lovely Hands,Space Pop,Planetboom,"SARA, Jin",132,,5,6,,
Lover,Barbie House,ND Lee,"ManDrill, HooN",145,,5,6,7,
Lupin,K-Pop,KARA,DSP Entertainment,136,4,4,6,7,
Luv Flow (Funky House Mix),Funky House,3rd Coast,Moses,127,,5,6,7,
Luv is True,Luv Pop,3rd Coast,Z_B,128,3,2,5,7,
MASAI (Electro House Mix),Electro House,Croove,ECO,128,,5,6,7,
Mellow D Fantasy,K-Pop,NieN,"KuDa, Z_B",132,,3,5,7,
Melody,Cute Pop,bermei.inazawa,"BF., Jin",188,,5,6,8,
Miles,Electro Fusion,Electronic Boutique,BF.,130,,5,6,7,
Mister,K-Pop,KARA,cozy,126,5,4,6,7,
MonoXide,Planet Core,Planetboom,"Panchock, 79c",,,6,7,8,
"My Heart, My Soul",R&B Slow,3rd Coast,"SAGWANAMU, jo jeong joo",123,4,1,6,#,
Nova (Mr.Funky Remix),Nu Skool Breaks,BEXTER,"Saree, D",,,4,6,,
Now a NEW Day,Electric Pop,Sui.Jay,"BF., Jin",158,2,5,7,9,
Oblivion,Dramatic Trance,ESTi,"D-myo, NG, Tari, ECO",141,,3,6,8,
Ooh La La,Soulful R&B,Julie C,ENTIA J,120,2,3,6,,
OUT LAW - Reborn,Nu Skool Breakz,CROOVE,D,130,,5,7,8,
Out of CTRL,Drum & Bass,Mr.Funky,"ZAKTAN, Out",176,,7,9,10,
Over the Rainbow,Ani Pop,Tsukasa,"MINO, Jin",190,6,6,8,11,
PDM,Acid Jazz,Trish,cozy,120,,5,6,8,
Piano Concerto No.1,Classic Remix,WavFactory,ECO,156,,6,8,9,
Play the Future,Electro House,Urbatronic Chopsticks,"KIMYS, Z_B",128,,4,5,7,
Pretty Girl,K-Pop,KARA,DSP Entertainment,134,4,4,6,8,
"Proposed, Flower, Wolf (고백, 꽃, 늑대)",Piano Ballad,ReX,D,80,,2,4,,
"Proposed, Flower, Wolf (고백, 꽃, 늑대) Part 2",Violin Trance,ReX,D,160,,5,7,8,
Put Em Up,Reggaeton-Like,makou,DumpingLIFE,100,,4,5,,
Puzzler,Toy Pop,Electronic Boutique,"SARA, ENTIA J",,,4,7,,
Rage of Demon,Nu Metal,NieN,DumpingLIFE,196,,6,8,9,
Raise Me Up,Rock'n Pop,Planetboom,"PUNEW, Super52",130,1,2,4,8,
Ray of Illuminati,Euro Dance,ESTi,"KIMYS, D",150,,5,7,8,
Ready Now,Euro Dance,Ruby Tuesday,"Kopye, 79c",135,,5,6,8,
Remember,K-Pop,Lin-G,"Bbang, woodstock",150,,5,6,7,
Right Back,UK Hardcore,TANUKI,Amitasia,175,7,6,7,10,
RockSTAR,Electro House,Mr.Funky,aj,130,,4,6,8,
Ruti'n,Urban Pop,BEXTER,"Shin Min Kyung, carrotjuice",120,,5,6,,
Say It From Your Heart,Classic Handbag,makou,"Z_B, GrooveBear",130,,4,6,,
Season (Warm Mix),Electronic Soul,makou,Nova,105,1,1,3,9,
Secret World,Teen Pop,Sweetune,"mirk, Jin",110,,5,6,,
Shoreline,Balearic House,Oriental ST8,"REWHY, Waveun",135,,6,7,8,
Showdown,Brass Funk,LeeZu (P'sycho-Remi),"Gaeberman, DumpingLIFE",145,,6,7,9,
SigNalize,Electro Trance,Paul Bazooka,Z_B,132,9,6,8,10,#
SIN,Drum'n Bass,ESTi,Ress,190,,6,8,9,
Someday,90's Pop,NieN,Chris,136,,3,5,6,
SON OF SUN,Gabber,Hosoe Shinji,"ECO, HooN",200,,6,8,11,
Space of Soul,Symphonic House,M2U,Bboyan,160,,8,9,,
STEP,K-Pop,KARA,DSP Entertainment,123,3,4,5,7,
STOP,Big Band House,3rd Coast,"ZAKTAN, 79c",162,,5,6,7,#
SuperNova,Rave,cranky,"OTTOL, ENTIA J",165,,7,8,#,
SuperSonic,Speed Core,Planetboom,"D, Z_B",156,,4,5,7,
SuperSonic (Mr.Funky Dirty Remix),Nu Disco,Planetboom,DumpingLIFE,130,,6,7,9,
Supersonic 2011,Rock Band,Sound LAB,-,148,-,-,-,9,
Sweet Dream,House Dance,Lin-G,"BF., Jin",140,,4,6,,
Sweet Shining Shooting Star,Acid House,CROOVE,"H2SO4, Jin",140,,5,7,8,
The Clear Blue Sky,Artcore,Tsukasa,"KKUEM, HooN",178,,4,7,8,
The Guilty,Speed Funk,P'sycho-Remi,"SINBARU, woodstock",,,5,6,7,
The Last Dance,India Hip Hop,Urbatronic Chopsticks,"SARA, HooN",102,,4,5,7,
The Night Stage,Electro Pop,Clazziquai,"DumpingLIFE, Madum",120,,4,6,,
The Rain Maker,Epic Trance,Paul Bazooka,moses,138,4,5,6,8,
Thor,Melodic Trance,XeoN,ECO,147,,6,10,,
To You (너에게),80's Pop,Sweetune,"ManDrill, 79c",133,,4,5,7,
Trip,Dance Pop,NieN,NG,114,,4,6,,
Victim of Love,R&B pop,Jade,"Sampal, Out",113,,3,6,9,
Voyage,Broken Beat,makou,"SAGWANAMU, carrotjuice",125,,5,6,,
Wanna Be Your LOVER,80's Dance,Laurent Newfield & Ravenant,"Zaquard, shin105",128,,3,5,,
Watch Your Step,90's Dance,XeoN,"ManDrill, HooN",126,3,4,6,8,
WhiteBlue,Trance,ZTS,KIMYS,144,,6,7,8,
Xeus,Melodic Trance,XeoN,"UKYO, HooN",148,,7,#,#,
XLASHER,Slash Core,Hosoe Shinji,"SARA, DumpingLIFE",160,,6,7,,
Y,Acid House,ND Lee,"Sobong, woodstock",130,,5,6,7,
You & Me,K-Pop,NieN,"KKUEM, Jin",136,3,2,5,7,
You Should Get Over Me,90's Rock,Jessica Wolff,"sobong, aj",150,4,5,6,8,
Your Own Miracle,Miracle Pop,Ruby Tuesday,"DMP2 Opening Staff, Z_B",136,,4,6,8,
Zet (Mr.Funky Remix),Indie Dance,"Bexter, Planetboom",KIMYS,160,,5,6,7,
설레임 Part 2 (Seoleim Part 2),Cute Pop,NDLee,"Lee Woo Chul, shin105",156,4,4,6,8,
유령 (Ghost),Fusion Hiphop,STi,"Tari, Nova",125,,3,5,7,
